uid,question,subject,props,query,tag,answers
0,What can cause a tsunami?,Q8070,wdt:P828,"SELECT ?answer 
WHERE {
  wd:Q8070 wdt:P828 ?answer
}",1-hop,"Q7944, Q60186, Q167903, Q2580904, Q5975740, Q7692360"
1,"Who wrote the novel ""uncle Tom's Cabin""?",Q2222,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q2222 wdt:P50 ?answer
}",1-hop,Q102513
2,"Who is the author of the play ""Romeo and Juliet""?",Q83186,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q83186 wdt:P50 ?answer
}",1-hop,Q692
3,What is the name of the capital of Romania?,Q218,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q218 wdt:P36 ?answer
}",1-hop,Q19660
5,What instrument did Jimi Hendrix play?,Q5928,wdt:P1303,"SELECT ?answer 
WHERE {
  wd:Q5928 wdt:P1303 ?answer
}",1-hop,"Q6607, Q483994, Q626035, Q2643890, Q17172850"
6,What country owns the island of Tahiti?,Q42000,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q42000 wdt:P17 ?answer
}",1-hop,Q142
8,Who created the Winter Palace in St. Petersburg?,Q182147,wdt:P84,"SELECT ?answer 
WHERE {
  wd:Q182147 wdt:P84 ?answer
}",1-hop,Q299687
9,"Who is the Director of the film ""diamond hand""?",Q1999930,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q1999930 wdt:P57 ?answer
}",1-hop,Q312480
10,Which country does the Canary Islands belong to?,Q5813,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q5813 wdt:P17 ?answer
}",1-hop,Q29
11,What geographical feature is called Limpopo?,Q173017,wdt:P31,"SELECT ?answer 
WHERE {
  wd:Q173017 wdt:P31 ?answer
}",1-hop,Q4022
12,What modern state occupies the territory where the ancient Assyrian city of Nineveh was located?,Q5680,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q5680 wdt:P17 ?answer
}",1-hop,Q796
13,What scale is used to measure the strength of earthquakes?,Q7944,wdt:P1880,"SELECT ?answer 
WHERE {
  wd:Q7944 wdt:P1880 ?answer
}",1-hop,"Q38768, Q201605, Q1676638"
15,In which country did the game of Golf first appear?,Q5377,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q5377 wdt:P495 ?answer
}",1-hop,Q22
16,What kind of sport was Russian President Vladimir Putin interested in?,Q7747,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q7747 wdt:P641 ?answer
}",1-hop,"Q11420, Q106500"
17,What was Severus Snape's father's name?,Q176772,wdt:P22,"SELECT ?answer 
WHERE {
  wd:Q176772 wdt:P22 ?answer
}",1-hop,Q4808485
18,What was Draco's son's name?,Q179641,wdt:P40,"SELECT ?answer 
WHERE {
  wd:Q179641 wdt:P40 ?answer
}",1-hop,Q2838011
19,What was Severus Snape's mother's name?,Q176772,wdt:P25,"SELECT ?answer 
WHERE {
  wd:Q176772 wdt:P25 ?answer
}",1-hop,Q9299872
20,What was the name of the Creator of the faculty of Ravenclaw (Ravenclaw)?,Q3187163,wdt:P112,"SELECT ?answer 
WHERE {
  wd:Q3187163 wdt:P112 ?answer
}",1-hop,Q2674728
23,Who is the author of the historical novel 'Princess Tarakanova'?,Q19175550,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q19175550 wdt:P50 ?answer
}",1-hop,Q1968651
24,"What color is the paint ""Indigo""?",Q422662,wdt:P462,"SELECT ?answer 
WHERE {
  wd:Q422662 wdt:P462 ?answer
}",1-hop,Q1088
26,What language does Rasul Gamzatov write poetry in?,Q36878,wdt:P6886,"SELECT ?answer 
WHERE {
  wd:Q36878 wdt:P6886 ?answer
}",1-hop,"Q7737, Q29561"
27,"What Strait did the ancient Greeks call the""pillars of Hercules""?",Q152854,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q152854 wdt:P276 ?answer
}",1-hop,Q36124
28,What country is the name of the BRILLIANT PORT associated with?,Q18871,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q18871 wdt:P17 ?answer
}",1-hop,Q43
29,"Who is the author of the music for the film ""Alexander Nevsky""?",Q118976,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q118976 wdt:P86 ?answer
}",1-hop,Q49481
30,What country do the Khmer people live in?,Q201028,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q201028 wdt:P17 ?answer
}",1-hop,"Q424, Q869, Q881"
32,What country is mount Everest located in?,Q513,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q513 wdt:P17 ?answer
}",1-hop,"Q148, Q837"
33,What country is the city of Semipalatinsk located in?,Q61944,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q61944 wdt:P17 ?answer
}",1-hop,Q232
36,What country does the kangaroo live in?,Q270098,wdt:P183,"SELECT ?answer 
WHERE {
  wd:Q270098 wdt:P183 ?answer
}",1-hop,Q408
37,In which U.S. state is the Grand Canyon located?,Q118841,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q118841 wdt:P131 ?answer
}",1-hop,Q816
39,In what sport was E. Kafelnikov famous?,Q207705,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q207705 wdt:P641 ?answer
}",1-hop,"Q847, Q5377"
42,In which state is the city of St. Petersburg located?,Q49236,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q49236 wdt:P17 ?answer
}",1-hop,Q30
43,"In which Polish city was the birthplace of the ""Solidarity""movement?",Q1003,wdt:P159,"SELECT ?answer 
WHERE {
  wd:Q1003 wdt:P159 ?answer
}",1-hop,Q1792
44,"In which novel by Francois Rabelais, the main character was accompanied by a character named Panurge?",Q3362539,wdt:P1441,"SELECT ?answer 
WHERE {
  wd:Q3362539 wdt:P1441 ?answer
}",1-hop,Q822290
45,In which state of the United States is the longest cave in the world (530 km) with the funny name flint-mammoth?,Q2666855,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q2666855 wdt:P131 ?answer
}",1-hop,Q1603
46,Where does the novel Les Miserables by Victor Hugo take place?,Q180736,wdt:P840,"SELECT ?answer 
WHERE {
  wd:Q180736 wdt:P840 ?answer
}",1-hop,"Q181306, Q213344, Q237367, Q1326237"
