subject,property,object,question
Q154335,P509,Q12152,what was the cause of death of yves klein
Q62498,P21,Q6581097,how does engelbert zaschka identify 
Q182485,P413,Q1143358,what position does pee wee reese play in baseball
Q12152,R509,Q6371569,Which Swiss conductor's cause of death is myocardial infarction?
Q472382,P19,Q23051,what is the place of birth of sam edwards?
Q1456475,P123,Q45700,who published neo contra
Q439893,P413,Q193592,what position does josé francisco torres play?
Q270,R19,Q11778769,what male actor was born in  warsaw
Q1085,R19,Q942870,Who was born in prague
Q2629576,P19,Q33935,where was guy pnini born
Q137259,P31,Q3863,what is the category of the celestial object 1241 dysona
Q1054574,R136,Q2828123,What's an example of a romance film
Q6134495,P19,Q131281,where was shigeyasu suzuki's place of birth
Q3534902,P19,Q585026,which indian city was fazil born in
Q2662597,P19,Q2868,where was paolo de la haza born?
Q1114984,P495,Q30,in which country was overnight delivery filmed in
Q1801175,P17,Q155,what is the second level division of the division crixás do tocantins
Q15461094,R57,Q2628332,Which film was directed by ian iqbal rashid
Q202585,R264,Q168012,who recorded rca records
Q312480,R58,Q1999930,Which films has leonid gaidai written
Q7497593,P21,Q6581097,What is shinji mori's gender?
Q1701445,P136,Q8341,what style of msuic did john pizzarelli play 
Q149914,P397,Q525,what does  2674 pandarus orbit
Q854479,P179,Q4802838,what series is super mario bros. 2 a part of
Q193146,P509,Q12199,what disease did anthony perkins die of
Q605122,P403,Q143762,what is the mouth of the schuylkill river
Q1903,R19,Q3750057,who was born in catania
Q152875,P61,Q231618,who discovered 4171 carrasco
Q365616,P106,Q3282637,What is the profession of julio medem?
Q88595,P19,Q1085,where was walter müller born
Q944752,P123,Q73801,who published the video game fable (video game)
Q3054638,R58,Q700765,Which film did enrico medioli write?
Q7742700,P136,Q3071,What genre is the island of disco ensemble
Q6768431,P27,Q30,which country is mark kramer from
Q182462,P509,Q12192,how did janet gaynor pass away?
Q1063264,P21,Q6581097,what gender is mohinder suresh
Q1623002,P364,Q1860,WHat language is spoke in lenny
Q744038,R136,Q2534184,what is an example of a role-playing video game 
Q982396,P495,Q29,which country is the film the fish child from
Q4142817,P58,Q55282,Who wrote the film goltzius and the pelican company
Q1768087,P272,Q2060840,what production company was involved in smokin' aces 2: assasins' ball
Q1517084,P364,Q150,what language is spoken in the medic
Q3308567,P509,Q12192,what illness did michael visaroff die from 
Q151634,P264,Q664167,what label is ace of base signed to
Q149113,P31,Q3863,is 2464 nordenskiöld a meteor or an asteroid
Q3497950,P495,Q16,what country released the film  cube
Q746063,P149,Q236122,what style of architecture is villa deste
Q715747,P31,Q3863,what is 6864 starkenburg
Q1761189,P403,Q98,Where does the santa ana river end
Q4237347,P27,Q15180,what is aleksei kravchenko's origin?
Q7712287,P364,Q9240,what language was the act of killing in?
Q568239,P136,Q1054574,which type of film is the bitter tea of general yen released in?
Q843402,R264,Q16959408,Who is an artist signed to warner bros. records
Q82955,R106,Q58156,who is a person with politician as a profession
Q3520383,P57,Q653645,Who directed the film the congress
Q188621,R144,Q1748703,what is an adaptation of la bohème called 
Q6416941,P86,Q498897,who wrote the music for kiss kiss
Q1212606,P495,Q38,where is the priests wife set
Q345494,R86,Q696855,which film did ryuichi sakamoto create the music for 
Q1297,R19,Q3568863,what novelist was born in chicago?
Q720581,R40,Q16016262,who is paul reubens's father
Q726153,R264,Q281894,what is the name of an artist with epitaph records
Q644372,P136,Q130232,what genre of film is princess caraboo
Q3908631,P31,Q523,what category of celestial objects does kappa draconis belong to
Q64,R19,Q2159077,Who is actor who was born in berlin?
Q1757845,P404,Q208850,What's a gameplay mode in sacred
Q1702403,P27,Q30,What is johnny russell's nationality?
Q1660749,P495,Q30,what country did needful things take place in
Q24075,P58,Q942914,who created the story for godzilla (1998 film)
Q4201482,P19,Q10126,where was sjafruddin prawiranegara born
Q91945,P1303,Q5994,Which instrument did grete sultan play?
Q143716,P1040,Q16247127,The film abduction  was edited by whom? 
Q7626547,R1431,Q1059164,What's a movie where stuart ford was the executive producer
Q3439287,P21,Q6581097,What is Roger Molliens gender?
Q464393,P19,Q592764,where was hank cochran birthed
Q443019,P27,Q664,leo bertos was born in what country?
Q679023,P364,Q1321,Which language is the film grindhouse in
Q2914048,P495,Q142,which country is on my way from
Q3543768,P21,Q6581097,what gender is hawkman?
Q1935027,P21,Q6581072,What gender is laura kirkpatrick
Q2290347,P136,Q828322,what kind of game is super monkey ball: banana blitz
Q2732154,P58,Q55208,who wrote the film the inner circle
Q7340338,P19,Q1087523,where is the birthplace of rob margolies
Q5994,R1303,Q7160670,name a piano player.
Q13634387,P27,Q20,eva isaksen is a national of which state?
Q4540683,P31,Q3863,what type of celestial object is (101180) 1998 sh9
Q5517090,P19,Q810847,where was gail harris born?
Q4284852,P21,Q6581097,Is anatoliy matkevych male or female?
Q4894396,P413,Q1142885,what position does bernie graham play
Q957347,P27,Q30,What nation is jerry wald from?
Q3281234,P136,Q200092,which genre does the title ancient evil: scream of the mummy fall under
Q20420,P178,Q3026554,who developed the computer videogame empire earth
Q4076151,P27,Q159,What is the nationality of vladimir baksheyev?
Q1179645,P21,Q6581097,what is the gender of paul phoenix
Q44428,P413,Q528145,which position does ray lewis play
Q1585,R138,Q1090931,What is the name of the crater on the moon named for georg ohm?
Q5677401,P19,Q2132,where was harvey lowe given birth
Q786,P150,Q592624,What first level division is in the Dominican Republic?
Q503421,P413,Q193592,What is alain sutter position
Q963351,P364,Q5146,what language is road house in?
Q495982,P86,Q235077,Who composed the music for the salamander?
Q1082452,P61,Q231618,who discovered 5551 glikson
Q5922449,P172,Q49085,what is dave henderson ethnicity?
Q766263,P136,Q1054574,which genre does chungking express belong to
Q4357688,P19,Q33405,which city was gail davis born
Q15434798,P21,Q6581072,what gender is the woman carolin fink
Q2720896,P17,Q43,what country is porsuk river in
Q235388,P136,Q37073,what kind of music is christy carlson romano
Q4278519,P19,Q985559,"Where was john f. mulholland, jr. born?"
Q1101711,P196,Q8101032,what asteroid group is 43706 iphiklos part of 
Q519332,P20,Q84,where did prince arthur of connaught die 
Q439095,P19,Q852729,where in england was rik mayall's place of birth?
Q6111597,R40,Q23685,Who is the famous father of jack carter
Q5660825,P19,Q49111,where was harold gore's birthplace
Q6730765,P495,Q30,which country was magic man made for
Q83739,P162,Q317567,Who produced the ladykillers?
Q185834,P57,Q60858,Which movie did a time to love and a time to die direct?
Q811013,P175,Q484839,Who is the artist off the album battle for the sun
Q573712,P19,Q90,Where was pierre samuel du pont de nemours' place of birth?
Q1937400,P136,Q484641,What kind of music is dirty work
Q2036082,P19,Q36036,Where was yuriy furta birthed
Q6373446,P413,Q336286,What position does karsten smith play
Q208850,R404,Q647855,what is the name of a single-player game
Q378754,P58,Q53011,What italian writer is credited on the church?
Q155,R17,Q1025760,what's a second level division in brazil
Q5720,P17,Q29,which country contains valencian community
Q103,P676,Q2318968,Who is the lyricist behind the composition supercalifragilisticexpialidocious?
Q4858977,P19,Q126269,Where in europe was barbara hicks born
Q193592,R413,Q677456,who is an Italian midfielder?
Q69609,P21,Q6581097,What gender is otto nagel
Q183387,R264,Q313559,which guitarist is represented by columbia records?
Q1332140,P17,Q16,What country does the ellice river run through
Q63088,P413,Q193592,what position does horst heldt play 
Q1080374,R136,Q1798059,what's the title of a science fantasy book
Q128309,R1303,Q2606282,Who plays the drum kit?
Q2474432,P19,Q3711,What is milan vilotić's birth place
Q447863,P21,Q6581097,which gender does joseph satoshi fukahori belong to
Q3413655,P57,Q2475653,who directed the film ram lakhan
Q4094404,P27,Q36,which european nationality does henryk borowski belong to?
Q191224,R272,Q374431,what movie is produced by walt disney pictures
Q618019,P31,Q3863,what kind of object is 34419 corning?
Q22260787,P364,Q9610,what language was used for the golden fortress
Q1451266,P404,Q208850,what is the gameplay mode of the sims 3: world adventures
Q313048,R58,Q810855,What film did bob kane contribute to?
Q5569077,P27,Q30,What is the nationality of Glenn Robinson III?
Q2960275,R86,Q566890,What is a film that charles strouse contributed music for?
Q5340376,P19,Q102217,where was eduard boltrushevich born
Q181776,P136,Q645928,What genre is the Bonnie and Clyde film?
Q1088362,P31,Q3863,What type of space object is 20553 donaldhowk
Q129857,P53,Q182135,What royal line does francis i of france come from?
Q6130343,P19,Q128282,which city was james brown born
Q23301,P172,Q50001,which type of people does roberto benigni belong to
Q337658,R58,Q27513,which film did christopher mcquarrie write
Q28389,R106,Q271554,Name a screenwriter.
Q2714762,P364,Q1860,What language is the film love hurts in 
Q210535,P40,Q460946,who was the child of nefertari
Q15143103,P19,Q60,which city was elisabeth nunziato born in?
Q204943,P1303,Q2145031,what does brian jones play
Q512925,R131,Q80122,Where is the matanuska-susitna borough located? 
Q4340927,P607,Q361,which world war did gerald robert osullivan fight in
Q706830,P20,Q84,what city did henry gellibrand pass away in
Q2111133,R179,Q166262,what was the title of the first movie of the batman film series
Q187760,R136,Q6095648,who created new wave music
Q73769,P136,Q8341,what type of music does kati kovács perform 
Q37073,R136,Q228818,Name a famous Australian singer known for pop music?
Q282722,P264,Q2283665,Which label signed trent reznor
Q150572,R171,Q311172,whats a lower classification of  alpinia
Q3992887,P19,Q207223,where was tommy breen born?
Q26895,R131,Q93340,"What is a city within fort bend county, texas?"
Q4354865,P27,Q30,what is howard storm's nationality 
Q35,R17,Q221394,Name a place in the second level divisions of denmark
Q79438,R19,Q16186534,who is a man born in texarkana
Q4907661,P27,Q33,what country is asko sarkola from
Q537706,P106,Q33999,What profession did madita have?
Q22072,P1303,Q5994,what instrument does John Farnham play?
Q165817,P272,Q192557,which production company produced the film saving private ryan?
Q882744,P21,Q6581097,what is the gender of ekathotsarot
Q155904,P105,Q34740,What's the taxonomic rank of aconitum
Q957352,P40,Q545644,Who is a child of pauline vanier
Q748624,R138,Q11094,What got its name from hakaru hashimoto
Q270692,R86,Q3522222,What movie did jonathan davis write the score for
Q323787,P364,Q188,what language was kamikaze 1989 filmed in
Q200092,R136,Q29733,what is the title of a film that is a horror movie
Q7152710,P509,Q181754,what is responsible for paul newlan's death
Q7348785,P21,Q6581097,what is the gender of robert smith
Q1143139,P178,Q928122,What company developed the game gex: enter the gecko
Q384708,P19,Q8686,what is cai chusheng's place of birth?
Q3071080,P20,Q1486,What city did lucas demare die in
Q3130,R19,Q716957,Who's a person born in sydney?
Q633755,P20,Q1015874,where did jay robinson die
