id,question,entities,category,complexityType,answerType,answerLabel,questionType,ents_lbls
15aae099,Who is George Clooney's current wife?,"[{'name': 'Q23844', 'entityType': 'entity', 'label': 'George Clooney', 'mention': ""George Clooney's"", 'span': [7, 23]}]",movies,generic,entity,Q16769592,simple,Q23844
32cd4730,Who is the actor that played John Kramer in Saw?,"[{'name': 'Q12320195', 'entityType': 'entity', 'label': 'John Kramer', 'mention': 'John Kramer', 'span': [29, 40]}, {'name': 'Q1145690', 'entityType': 'entity', 'label': 'Saw', 'mention': 'Saw', 'span': [44, 47]}]",movies,generic,entity,Q310190,simple,"Q12320195, Q1145690"
a89fa7ea,Who is Emilio Estevez's father?,"[{'name': 'Q220918', 'entityType': 'entity', 'label': 'Emilio Estévez', 'mention': ""Emilio Estevez's"", 'span': [7, 23]}]",movies,generic,entity,Q184572,simple,Q220918
2d528e99,What is Jerry Seinfeld's wife's name?,"[{'name': 'Q215506', 'entityType': 'entity', 'label': 'Jerry Seinfeld', 'mention': ""Jerry Seinfeld's"", 'span': [8, 24]}]",movies,generic,entity,Q6187470,simple,Q215506
29035407,Who is Samuel L. Jackson's wife?,"[{'name': 'Q172678', 'entityType': 'entity', 'label': 'Samuel L. Jackson', 'mention': ""Samuel L. Jackson's"", 'span': [7, 26]}]",movies,generic,entity,Q441634,simple,Q172678
8f5cc660,Which foreign language movie was the first to win the Oscar for Best Picture?,"[{'name': 'Q102427', 'entityType': 'entity', 'label': 'Academy Award for Best Picture', 'mention': 'Oscar for Best Picture', 'span': [54, 76]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [37, 42]}]",movies,generic,entity,Q61448040,simple,Q102427
40f986f5,Who directed the 1978 horror classic Halloween?,"[{'name': 'Q221103', 'entityType': 'entity', 'label': 'Halloween', 'mention': 'Halloween', 'span': [37, 46]}, {'name': 1978, 'entityType': 'date', 'mention': '1978', 'span': [17, 21]}]",movies,generic,entity,Q95008,simple,Q221103
a6d008d5,What is the name of Donkey's wife in Shrek?,"[{'name': 'Q748427', 'entityType': 'entity', 'label': 'Donkey', 'mention': ""Donkey's"", 'span': [20, 28]}, {'name': 'Q483815', 'entityType': 'entity', 'label': 'Shrek', 'mention': 'Shrek', 'span': [37, 42]}]",movies,generic,entity,Q9338679,simple,"Q748427, Q483815"
8cb4c775,What basketball team did Kobe Bryant retire from?,"[{'name': 'Q25369', 'entityType': 'entity', 'label': 'Kobe Bryant', 'mention': 'Kobe Bryant', 'span': [25, 36]}]",movies,generic,entity,Q121783,simple,Q25369
692fe9b0,What country is Russell Crowe from?,"[{'name': 'Q129817', 'entityType': 'entity', 'label': 'Russell Crowe', 'mention': 'Russell Crowe', 'span': [16, 29]}]",movies,generic,entity,Q664,simple,Q129817
0a11e315,AC/DC is from what country?,"[{'name': 'Q27593', 'entityType': 'entity', 'label': 'AC/DC', 'mention': 'AC/DC', 'span': [0, 5]}]",music,generic,entity,Q408,simple,Q27593
40451de3,What was Metallica's highest-selling album?,"[{'name': 'Q15920', 'entityType': 'entity', 'label': 'Metallica', 'mention': ""Metallica's"", 'span': [9, 20]}]",music,generic,entity,Q213516,simple,Q15920
eb0bcdee,What group was Method Man in?,"[{'name': 'Q298694', 'entityType': 'entity', 'label': 'Method Man', 'mention': 'Method Man', 'span': [15, 25]}]",music,generic,entity,Q52463,simple,Q298694
8647ef76,Who performed Sunrise Sunburn Sunset at the 2018 CMT Music Awards?,"[{'name': 'Q55517021', 'entityType': 'entity', 'label': 'Sunrise, Sunburn, Sunset', 'mention': 'Sunrise Sunburn Sunset', 'span': [14, 36]}, {'name': 'Q2007941', 'entityType': 'entity', 'label': 'CMT Music Awards', 'mention': 'CMT Music Awards', 'span': [49, 65]}, {'name': 2018, 'entityType': 'date', 'mention': '2018', 'span': [44, 48]}]",music,generic,entity,Q166197,simple,"Q55517021, Q2007941"
e8027a09,Who is the lead singer of The Smiths?,"[{'name': 'Q180598', 'entityType': 'entity', 'label': 'The Smiths', 'mention': 'The Smiths', 'span': [26, 36]}]",music,generic,entity,Q202246,simple,Q180598
1dde1d5b,Where was Freddy Mercury born?,"[{'name': 'Q15869', 'entityType': 'entity', 'label': 'Freddie Mercury', 'mention': 'Freddy Mercury', 'span': [10, 24]}]",music,generic,entity,Q1774,simple,Q15869
6df4a45c,Which movie did Trent Reznor of Nine Inch Nails win an Oscar for producing the score?,"[{'name': 'Q11647', 'entityType': 'entity', 'label': 'Nine Inch Nails', 'mention': 'Nine Inch Nails', 'span': [32, 47]}, {'name': 'Q282722', 'entityType': 'entity', 'label': 'Trent Reznor', 'mention': 'Trent Reznor', 'span': [16, 28]}, {'name': 'Q19020', 'entityType': 'entity', 'label': 'Academy Awards', 'mention': 'Oscar', 'span': [55, 60]}]",music,generic,entity,Q185888,simple,"Q11647, Q282722, Q19020"
319710c1,Which blues song is famously associated with suicides?,"[{'name': 'Q9759', 'entityType': 'entity', 'label': 'blues', 'mention': 'blues', 'span': [6, 11]}, {'name': 'Q7366', 'entityType': 'entity', 'label': 'song', 'mention': 'song', 'span': [12, 16]}, {'name': 'Q10737', 'entityType': 'entity', 'label': 'suicide', 'mention': 'suicides', 'span': [45, 53]}]",music,generic,entity,Q747869,simple,"Q9759, Q7366, Q10737"
d39421d6,What musical group was Joey Fatone a part of?,"[{'name': 'Q1640877', 'entityType': 'entity', 'label': 'Joey Fatone', 'mention': 'Joey Fatone', 'span': [23, 34]}]",music,generic,entity,Q154454,simple,Q1640877
1160f574,Who released the album Powerslave?,"[{'name': 'Q308899', 'entityType': 'entity', 'label': 'Powerslave', 'mention': 'Powerslave', 'span': [23, 33]}]",music,generic,entity,Q42482,simple,Q308899
c28d3833,Who wrote the Britney Spears song Womanizer?,"[{'name': 'Q11975', 'entityType': 'entity', 'label': 'Britney Spears', 'mention': 'Britney Spears', 'span': [14, 28]}, {'name': 'Q323991', 'entityType': 'entity', 'label': 'Womanizer', 'mention': 'Womanizer', 'span': [34, 43]}]",music,generic,entity,Q7755721,simple,"Q11975, Q323991"
60c1c314,Which musician sings Ice Ice Baby?,"[{'name': 'Q2389029', 'entityType': 'entity', 'label': 'Ice Ice Baby', 'mention': 'Ice Ice Baby', 'span': [21, 33]}]",music,generic,entity,Q313578,simple,Q2389029
79d6b41c,What team won the NFC East Division in 2019?,"[{'name': 'Q594428', 'entityType': 'entity', 'label': 'NFC East', 'mention': 'NFC East Division', 'span': [18, 35]}, {'name': 2019, 'entityType': 'date', 'mention': '2019', 'span': [39, 43]}]",sports,generic,entity,Q219714,simple,Q594428
1efd6225,What team did Kobe Bryant retire from basketball?,"[{'name': 'Q25369', 'entityType': 'entity', 'label': 'Kobe Bryant', 'mention': 'Kobe Bryant', 'span': [14, 25]}]",sports,generic,entity,Q121783,simple,Q25369
c36fc9bf,Who won the 2002 NBA Finals?,"[{'name': 'Q4600307', 'entityType': 'entity', 'label': '2002 NBA Finals', 'mention': '2002 NBA Finals', 'span': [12, 27]}]",sports,generic,entity,Q121783,simple,Q4600307
34f45381,Who won the Super Bowl 32?,"[{'name': 'Q648144', 'entityType': 'entity', 'label': 'Super Bowl XXXII', 'mention': 'Super Bowl 32', 'span': [12, 25]}]",sports,generic,entity,Q223507,simple,Q648144
73f4ff86,Who won the 2006 NBA Finals?,"[{'name': 'Q170590', 'entityType': 'entity', 'label': '2006 NBA Finals', 'mention': '2006 NBA Finals', 'span': [12, 27]}]",sports,generic,entity,Q169138,simple,Q170590
18e1ba3f,Who is the current manager of the Milwaukee Brewers?,"[{'name': 'Q848103', 'entityType': 'entity', 'label': 'Milwaukee Brewers', 'mention': 'Milwaukee Brewers', 'span': [34, 51]}]",sports,generic,entity,Q3001998,simple,Q848103
a00f6827,Who has the most Finals MVPs in the NBA?,"[{'name': 'Q739499', 'entityType': 'entity', 'label': 'Bill Russell NBA Finals Most Valuable Player Award', 'mention': 'Finals MVPs', 'span': [17, 28]}, {'name': 'Q155223', 'entityType': 'entity', 'label': 'National Basketball Association', 'mention': 'NBA', 'span': [36, 39]}]",sports,generic,entity,Q41421,simple,"Q739499, Q155223"
31681534,Where do the Warriors play?,"[{'name': 'Q157376', 'entityType': 'entity', 'label': 'Golden State Warriors', 'mention': 'Warriors', 'span': [13, 21]}]",sports,generic,entity,Q15262098,simple,Q157376
d6f0e5b3,Who won the 2012 NBA Finals?,"[{'name': 'Q2628013', 'entityType': 'entity', 'label': '2012 NBA Finals', 'mention': '2012 NBA Finals', 'span': [12, 27]}]",sports,generic,entity,Q169138,simple,Q2628013
a7ba4cd3,Where do the Texans play home games?,"[{'name': 'Q223514', 'entityType': 'entity', 'label': 'Houston Texans', 'mention': 'Texans', 'span': [13, 19]}]",sports,generic,entity,Q1058864,simple,Q223514
a50bee45,The champions of what two leagues played in the first four Super Bowls?,"[{'name': 'Q32096', 'entityType': 'entity', 'label': 'Super Bowl', 'mention': 'Super Bowls', 'span': [59, 70]}, {'name': 2, 'entityType': 'cardinal', 'mention': 'two', 'span': [22, 25]}, {'name': 1, 'entityType': 'ordinal', 'mention': 'first', 'span': [48, 53]}, {'name': 4, 'entityType': 'cardinal', 'mention': 'four', 'span': [54, 58]}]",sports,generic,entity,Q1215884,simple,Q32096
6f0a5f39,Which team drafted Carmelo Anthony in the NBA draft?,"[{'name': 'Q129041', 'entityType': 'entity', 'label': 'Carmelo Anthony', 'mention': 'Carmelo Anthony', 'span': [19, 34]}, {'name': 'Q155223', 'entityType': 'entity', 'label': 'National Basketball Association', 'mention': 'NBA', 'span': [42, 45]}]",sports,generic,entity,Q162954,simple,"Q129041, Q155223"
4005a9bc,Which team won Super Bowl Five?,"[{'name': 'Q168380', 'entityType': 'entity', 'label': 'Super Bowl V', 'mention': 'Super Bowl Five', 'span': [15, 30]}]",sports,generic,entity,Q614724,simple,Q168380
9a292662,Coors Field is home to what team?,"[{'name': 'Q1129916', 'entityType': 'entity', 'label': 'Coors Field', 'mention': 'Coors Field', 'span': [0, 11]}]",sports,generic,entity,Q388858,simple,Q1129916
5b40d421,Who won Super Bowl XXV?,"[{'name': 'Q1512351', 'entityType': 'entity', 'label': 'Super Bowl XXV', 'mention': 'Super Bowl XXV', 'span': [8, 22]}]",sports,generic,entity,Q190618,simple,Q1512351
5e35a245,Who wrote the original Tarzan books?,"[{'name': 'Q170241', 'entityType': 'entity', 'label': 'Tarzan', 'mention': 'Tarzan', 'span': [23, 29]}]",books,generic,entity,Q148234,simple,Q170241
a41db7cb,What was the name of the Lone Ranger's sidekick?,"[{'name': 'Q1588097', 'entityType': 'entity', 'label': 'Lone Ranger', 'mention': ""Lone Ranger's"", 'span': [25, 38]}]",books,generic,entity,Q7821701,simple,Q1588097
bdd7e62b,What is the name of Bilbo Baggins's home?,"[{'name': 'Q185737', 'entityType': 'entity', 'label': 'Bilbo Baggins', 'mention': ""Bilbo Baggins's"", 'span': [20, 35]}]",books,generic,entity,Q1089103,simple,Q185737
0242cf72,What was Harry Potter's mother's name?,"[{'name': 'Q3244512', 'entityType': 'entity', 'label': 'Harry Potter', 'mention': ""Harry Potter's"", 'span': [9, 23]}]",books,generic,entity,Q754837,simple,Q3244512
c15f3296,What is the name of Katniss Everdeen's sister?,"[{'name': 'Q2071301', 'entityType': 'entity', 'label': 'Katniss Everdeen', 'mention': ""Katniss Everdeen's"", 'span': [20, 38]}]",books,generic,entity,Q3921928,simple,Q2071301
07a972c9,Who is the author of the Eragon series?,"[{'name': 'Q185449', 'entityType': 'entity', 'label': 'Eragon', 'mention': 'Eragon', 'span': [25, 31]}]",books,generic,entity,Q93620,simple,Q185449
faddfa04,Who wrote To Kill a Mockingbird?,"[{'name': 'Q212340', 'entityType': 'entity', 'label': 'To Kill a Mockingbird', 'mention': 'To Kill a Mockingbird', 'span': [10, 31]}]",books,generic,entity,Q182658,simple,Q212340
37fcedb9,Who wrote the Gaea Trilogy?,"[{'name': 'Q3529474', 'entityType': 'entity', 'label': 'Gaea trilogy', 'mention': 'Gaea Trilogy', 'span': [14, 26]}]",books,generic,entity,Q504805,simple,Q3529474
87155d15,Who wrote the book The True Confessions of Charlotte Doyle?,"[{'name': 'Q823399', 'entityType': 'entity', 'label': 'The True Confessions of Charlotte Doyle', 'mention': 'The True Confessions of Charlotte Doyle', 'span': [19, 58]}]",books,generic,entity,Q1273533,simple,Q823399
3341ca24,Where did Brian Jacques start writing the Redwall series?,"[{'name': 'Q1247790', 'entityType': 'entity', 'label': 'Redwall', 'mention': 'Redwall', 'span': [42, 49]}, {'name': 'Q468851', 'entityType': 'entity', 'label': 'Brian Jacques', 'mention': 'Brian Jacques', 'span': [10, 23]}]",books,generic,entity,Q24826,simple,"Q1247790, Q468851"
8b373bd7,Who is the main character in the Great Gatsby?,"[{'name': 'Q214371', 'entityType': 'entity', 'label': 'The Great Gatsby', 'mention': 'the Great Gatsby', 'span': [29, 45]}]",books,generic,entity,Q7048121,simple,Q214371
d3ca4826,Where was Tyrion Lannister born?,"[{'name': 'Q2076759', 'entityType': 'entity', 'label': 'Tyrion Lannister', 'mention': 'Tyrion Lannister', 'span': [10, 26]}]",books,generic,entity,Q57739629,simple,Q2076759
f77bc21d,Where was Frodo Baggins born?,"[{'name': 'Q177329', 'entityType': 'entity', 'label': 'Frodo Baggins', 'mention': 'Frodo Baggins', 'span': [10, 23]}]",books,generic,entity,Q218728,simple,Q177329
f2dd1ba0,Who does Harry Potter marry?,"[{'name': 'Q3244512', 'entityType': 'entity', 'label': 'Harry Potter', 'mention': 'Harry Potter', 'span': [9, 21]}]",books,generic,entity,Q187923,simple,Q3244512
65109937,Where is Frodo Baggins from?,"[{'name': 'Q177329', 'entityType': 'entity', 'label': 'Frodo Baggins', 'mention': 'Frodo Baggins', 'span': [9, 22]}]",books,generic,entity,Q218728,simple,Q177329
f4496fdd,What did Lewis Carol die of?,"[{'name': 'Q38082', 'entityType': 'entity', 'label': 'Lewis Carroll', 'mention': 'Lewis Carol', 'span': [9, 20]}]",books,generic,entity,Q12192,simple,Q38082
7e982cae,Who wrote the Bourne Identity series?,"[{'name': 'Q105624', 'entityType': 'entity', 'label': 'The Bourne Identity', 'mention': 'Bourne Identity', 'span': [14, 29]}]",books,generic,entity,Q224113,simple,Q105624
5175deed,Who wrote Animal Farm?,"[{'name': 'Q1396889', 'entityType': 'entity', 'label': 'Animal Farm', 'mention': 'Animal Farm', 'span': [10, 21]}]",books,generic,entity,Q3335,simple,Q1396889
b9cf2567,Where was Jay Gatsby born?,"[{'name': 'Q7048121', 'entityType': 'entity', 'label': 'Jay Gatsby', 'mention': 'Jay Gatsby', 'span': [10, 20]}]",books,generic,entity,Q1207,simple,Q7048121
61ec5e19,Who wrote the Leatherstocking Tales?,"[{'name': 'Q1092918', 'entityType': 'entity', 'label': 'Leatherstocking Tales', 'mention': 'Leatherstocking Tales', 'span': [14, 35]}]",books,generic,entity,Q167856,simple,Q1092918
bbec7db7,What is the pen name for the author of the Jack Reacher series?,"[{'name': 'Q589977', 'entityType': 'entity', 'label': 'Jack Reacher', 'mention': 'Jack Reacher', 'span': [43, 55]}]",books,generic,entity,Q333719,simple,Q589977
5a71922c,Who is the author of the Fifty Shades of Gray books?,"[{'name': 'Q557867', 'entityType': 'entity', 'label': 'Fifty Shades of Grey', 'mention': 'Fifty Shades of Gray', 'span': [25, 45]}]",books,generic,entity,Q59896,simple,Q557867
fbbe89fa,Who wrote Looking for Alaska?,"[{'name': 'Q1150792', 'entityType': 'entity', 'label': 'Looking for Alaska', 'mention': 'Looking for Alaska', 'span': [10, 28]}]",books,generic,entity,Q630446,simple,Q1150792
8062fb3a,Who wrote 1Q84?,"[{'name': 'Q208971', 'entityType': 'entity', 'label': '1Q84', 'mention': '1Q84', 'span': [10, 14]}]",books,generic,entity,Q134798,simple,Q208971
081ade39,Who created James Bond?,"[{'name': 'Q844', 'entityType': 'entity', 'label': 'James Bond', 'mention': 'James Bond', 'span': [12, 22]}]",books,generic,entity,Q82104,simple,Q844
ff408478,What country are the Abu Simbel Temples in?,"[{'name': 'Q134140', 'entityType': 'entity', 'label': 'Temples of Abu Simbel', 'mention': 'Abu Simbel Temples', 'span': [21, 39]}]",geography,generic,entity,Q79,simple,Q134140
b997763c,What is the largest city in Maryland?,"[{'name': 'Q1391', 'entityType': 'entity', 'label': 'Maryland', 'mention': 'Maryland', 'span': [28, 36]}]",geography,generic,entity,Q5092,simple,Q1391
5ba2f1b2,What is the capital of California?,"[{'name': 'Q99', 'entityType': 'entity', 'label': 'California', 'mention': 'California', 'span': [23, 33]}]",geography,generic,entity,Q18013,simple,Q99
0bfc1d16,What city in Germany has the largest population?,"[{'name': 'Q183', 'entityType': 'entity', 'label': 'Germany', 'mention': 'Germany', 'span': [13, 20]}]",geography,generic,entity,Q64,simple,Q183
226c78f8,"What county is San José, California in?","[{'name': 'Q16553', 'entityType': 'entity', 'label': 'San Jose', 'mention': 'San José, California', 'span': [15, 35]}]",geography,generic,entity,Q110739,simple,Q16553
3a848645,What city is the capital of Texas?,"[{'name': 'Q1439', 'entityType': 'entity', 'label': 'Texas', 'mention': 'Texas', 'span': [28, 33]}]",geography,generic,entity,Q16559,simple,Q1439
16c7404f,In which Washington state city is the Microsoft Corporation headquarters located?,"[{'name': 'Q1223', 'entityType': 'entity', 'label': 'Washington', 'mention': 'Washington', 'span': [9, 19]}, {'name': 'Q2283', 'entityType': 'entity', 'label': 'Microsoft', 'mention': 'Microsoft Corporation', 'span': [38, 59]}]",geography,generic,entity,Q223718,simple,"Q1223, Q2283"
19637101,Where might one find the Acropolis?,"[{'name': 'Q131013', 'entityType': 'entity', 'label': 'Acropolis of Athens', 'mention': 'Acropolis', 'span': [25, 34]}]",geography,generic,entity,Q1524,simple,Q131013
407cba33,Which city was once New Amsterdam?,"[{'name': 'Q223308', 'entityType': 'entity', 'label': 'New Amsterdam', 'mention': 'New Amsterdam', 'span': [20, 33]}]",geography,generic,entity,Q60,simple,Q223308
a7cdb756,What is the Great Sphinx made of?,"[{'name': 'Q130958', 'entityType': 'entity', 'label': 'The Great Sphinx', 'mention': 'Great Sphinx', 'span': [12, 24]}]",geography,generic,entity,Q23757,simple,Q130958
5fa2f1ba,What is the most populous city in Norway?,"[{'name': 'Q20', 'entityType': 'entity', 'label': 'Norway', 'mention': 'Norway', 'span': [34, 40]}]",geography,generic,entity,Q585,simple,Q20
